id,inning,over,ball,batsman_runs,extra_runs,total_runs,non_boundary,class
335982,1,6,5,1,0,1,0,0
335982,1,6,6,1,0,1,0,0
335982,1,7,1,0,0,0,0,0
335982,1,7,2,1,0,1,0,0
335982,1,7,3,1,0,1,0,0
335982,1,7,4,1,0,1,0,0
335982,1,7,5,1,0,1,0,0
335982,1,7,6,1,0,1,0,0
335982,1,8,1,0,0,0,0,0
335982,1,8,2,0,0,0,0,0
335982,1,8,3,0,0,0,0,0
335982,1,8,4,1,0,1,0,0
335982,1,8,5,1,0,1,0,0
335982,1,8,6,2,0,2,0,0
335982,1,9,1,1,0,1,0,0
335982,1,9,2,1,0,1,0,0
335982,1,9,3,1,0,1,0,0
335982,1,9,4,0,0,0,0,0
335982,1,9,5,6,0,6,0,0
335982,1,9,6,1,0,1,0,0
335982,1,10,1,1,0,1,0,0
335982,1,10,2,4,0,4,0,0
335982,1,10,3,0,0,0,0,0
335982,1,10,4,6,0,6,0,0
335982,1,10,5,0,0,0,0,0
335982,1,10,6,0,4,4,0,0
335982,1,11,1,0,0,0,0,0
335982,1,11,2,6,0,6,0,0
335982,1,11,3,2,0,2,0,0
335982,1,11,4,1,0,1,0,0
335982,1,11,5,0,0,0,0,0
335982,1,11,6,1,0,1,0,0
335982,1,12,1,0,0,0,0,1
335982,1,12,2,4,0,4,0,0
335982,1,12,3,0,0,0,0,0
335982,1,12,4,2,0,2,0,0
335982,1,12,5,0,1,1,0,0
335982,1,12,6,4,0,4,0,0
335982,1,12,7,1,0,1,0,0
335982,1,13,1,1,0,1,0,0
335982,1,13,2,0,0,0,0,0
335982,1,13,3,1,0,1,0,0
335982,1,13,4,1,0,1,0,0
335982,1,13,5,1,0,1,0,0
335982,1,13,6,2,0,2,0,0
335982,1,14,1,4,0,4,0,0
335982,1,14,2,1,0,1,0,0
335982,1,14,3,6,0,6,0,0
335982,1,14,4,4,0,4,0,0
335982,1,14,5,0,2,2,0,0
335982,1,14,6,1,0,1,0,0
335982,1,14,7,6,0,6,0,0
335982,1,15,1,0,0,0,0,0
335982,1,15,2,1,0,1,0,0
335982,1,15,3,2,0,2,0,0
335982,1,15,4,0,0,0,0,0
335982,1,15,5,1,0,1,0,0
335982,1,15,6,0,0,0,0,0
335982,1,16,1,1,0,1,0,0
335982,1,16,2,2,0,2,0,0
