num_ratings,useful,easy,liked,num_reviews,class
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,0
2111,21%,10%,23%,86,
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
2111,21%,10%,23%,86,1
