Menu Item,Calories (kcal),Fat Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Sugars (g),Protein (g),class
1,600,100,27,21,1,45,240,79,65,12,1
2,830,170,39,31,1,55,310,106,86,16,1
3,1100,230,52,41,1.5,75,410,140,113,20,1
4,360,300,13,8,0.5,45,150,53,43,8,0
5,620,240,22,14,1,85,270,93,75,13,0
6,890,350,32,20,1.5,120,390,132,106,18,1
7,1170,470,43,27,2,160,520,175,139,22,1
8,390,110,16,8,0,35,160,54,42,8,0
9,700,200,30,14,1,55,290,95,74,13,0
10,960,290,42,19,1,75,400,129,100,17,1
11,1240,390,55,24,1.5,95,520,167,129,22,1
12,760,150,29,14,0.5,65,390,117,90,11,1
13,700,270,31,7,0,105,2710,88,14,18,0
14,360,380,14,9,0.5,25,190,52,41,7,1
15,560,500,20,13,1,40,330,86,68,11,1
16,720,260,25,15,1,50,440,110,85,14,1
17,940,270,32,19,1.5,70,570,145,112,19,1
18,720,420,47,19,2,130,1890,39,9,37,1
19,920,560,63,26,2.5,180,2300,40,9,49,1
20,720,440,49,19,2,125,1430,37,7,34,1
21,910,580,65,27,2.5,170,1820,38,7,46,1
22,320,120,13,5,0.5,35,870,36,7,15,1
23,460,220,25,10,1.5,70,1030,36,7,24,1
24,610,330,37,15,2,110,1190,36,7,33,1
25,820,460,51,19,2,130,2080,52,13,38,1
26,1020,600,67,27,2.5,180,2500,53,14,49,1
27,370,160,18,8,1,50,1120,37,8,17,1
28,570,300,34,15,1.5,100,1530,38,8,29,1
29,760,450,50,23,2.5,150,1940,39,9,40,1
30,620,350,39,16,2,105,1510,39,9,29,1
31,820,500,55,24,2.5,155,1930,40,9,41,1
32,420,240,26,11,1,60,1140,27,3,19,1
33,390,220,24,10,1,50,1000,27,3,16,1
34,420,240,26,11,1,55,1070,28,4,18,1
35,850,470,53,22,2.5,110,2140,56,7,36,1
36,360,190,22,8,1,40,970,27,4,14,1
37,330,170,19,8,1,35,820,25,3,12,1
38,350,180,20,8,1,35,1060,31,8,13,1
39,45,0,0,0,0,0,0,11,7,0,1
40,110,5,0,0,0,0,0,27,14,1,0
41,280,120,13,2.5,0,30,640,28,1,13,1
42,170,70,8,1,0,0,370,23,0,3,1
43,320,120,13,5,0.5,35,870,36,7,15,1
44,330,170,19,8,1,35,820,25,3,12,1
45,110,25,2.5,1.5,0,10,130,12,12,8,0
